Market Price Type,Centre,Variety Name,Grade,Unit,Max Price,Average Price,Min. Price
Farm Price,"JOHOR BAHRU, JOHOR",AYAM HIDUP,F.A.Q,KG,780.0,750.0,720.0
Farm Price,"JOHOR BAHRU, JOHOR",BAYAM,F.A.Q,KG,400.0,350.0,300.0
Farm Price,"JOHOR BAHRU, JOHOR",BETIK SEKAKI,F.A.Q,KG,200.0,190.0,180.0
Farm Price,"JOHOR BAHRU, JOHOR",BUNGA KANTAN,F.A.Q,TANGKAI,0.5,0.5,0.5
Farm Price,"JOHOR BAHRU, JOHOR",CILI HIJAU,F.A.Q,KG,800.0,750.0,700.0
Farm Price,"JOHOR BAHRU, JOHOR",CILI MERAH KULAI / KULAI HIBRID,F.A.Q,KG,950.0,925.0,900.0
Farm Price,"JOHOR BAHRU, JOHOR",KACANG BENDI,F.A.Q,KG,550.0,525.0,500.0
Farm Price,"JOHOR BAHRU, JOHOR",KACANG PANJANG HIJAU,F.A.Q,KG,700.0,650.0,600.0
Farm Price,"JOHOR BAHRU, JOHOR",KANGKUNG,F.A.Q,KG,400.0,350.0,300.0
Farm Price,"JOHOR BAHRU, JOHOR",KELAPA DIKUPAS,SEDANG,100 BIJI,135.0,135.0,135.0
Farm Price,"JOHOR BAHRU, JOHOR",KETOLA / PETOLA SEGI,F.A.Q,KG,350.0,350.0,350.0
Farm Price,"JOHOR BAHRU, JOHOR",PISANG BERANGAN,F.A.Q,KG,200.0,175.0,150.0
Farm Price,"JOHOR BAHRU, JOHOR",PISANG MAS,F.A.Q,KG,180.0,165.0,150.0
Farm Price,"JOHOR BAHRU, JOHOR",SAWI HIJAU,F.A.Q,KG,500.0,475.0,450.0
Farm Price,"JOHOR BAHRU, JOHOR",TELUR AYAM,A,100 BIJI,39.0,39.0,39.0
Farm Price,"JOHOR BAHRU, JOHOR",TELUR AYAM,B,100 BIJI,37.0,37.0,37.0
Farm Price,"JOHOR BAHRU, JOHOR",TELUR AYAM,C,100 BIJI,35.0,35.0,35.0
Farm Price,"JOHOR BAHRU, JOHOR",TEMBIKAI MERAH TANPA BIJI,F.A.Q,KG,200.0,190.0,180.0
Farm Price,"JOHOR BAHRU, JOHOR",TERUNG PANJANG / PEPARU (TANAH RENDAH),F.A.Q,KG,550.0,525.0,500.0
Farm Price,"JOHOR BAHRU, JOHOR",TIMUN HIJAU,F.A.Q,KG,350.0,330.0,310.0
Farm Price,"KUBANG PASU, KEDAH",AYAM HIDUP,F.A.Q,KG,630.0,620.0,620.0
Farm Price,"PENDANG, KEDAH",BAYAM,F.A.Q,KG,250.0,220.0,220.0
Farm Price,"PENDANG, KEDAH",BETIK SEKAKI,F.A.Q,KG,230.0,220.0,220.0
Farm Price,"PENDANG, KEDAH",CILI MERAH KULAI / KULAI HIBRID,F.A.Q,KG,1100.0,1000.0,1000.0
Farm Price,"PENDANG, KEDAH",KACANG BENDI,F.A.Q,KG,400.0,350.0,350.0
Farm Price,"PENDANG, KEDAH",KACANG PANJANG HIJAU,F.A.Q,KG,370.0,350.0,350.0
Farm Price,"PENDANG, KEDAH",KANGKUNG,F.A.Q,KG,250.0,200.0,200.0
Farm Price,"PENDANG, KEDAH",KETOLA / PETOLA SEGI,F.A.Q,KG,200.0,180.0,180.0
Farm Price,"PENDANG, KEDAH",PISANG BERANGAN,F.A.Q,KG,150.0,150.0,150.0
Farm Price,"PENDANG, KEDAH",PISANG MAS,F.A.Q,KG,150.0,150.0,150.0
Farm Price,"PENDANG, KEDAH",SAWI HIJAU,F.A.Q,KG,300.0,250.0,250.0
Farm Price,"PENDANG, KEDAH",TEMBIKAI MERAH,F.A.Q,KG,120.0,110.0,110.0
Farm Price,"PENDANG, KEDAH",TEMBIKAI MERAH TANPA BIJI,F.A.Q,KG,120.0,110.0,110.0
Farm Price,"PENDANG, KEDAH",TERUNG PANJANG / PEPARU (TANAH RENDAH),F.A.Q,KG,400.0,350.0,350.0
Farm Price,"PENDANG, KEDAH",TIMUN HIJAU,F.A.Q,KG,200.0,200.0,200.0
Farm Price,"KOTA BHARU, KELANTAN",AYAM HIDUP,F.A.Q,KG,800.0,790.0,790.0
Farm Price,"KOTA BHARU, KELANTAN",BAYAM,F.A.Q,KG,400.0,380.0,380.0
Farm Price,"KOTA BHARU, KELANTAN",BUNGA KANTAN,F.A.Q,TANGKAI,1.0,1.0,1.0
Farm Price,"KOTA BHARU, KELANTAN",CILI MERAH KULAI / KULAI HIBRID,F.A.Q,KG,900.0,850.0,850.0
Farm Price,"KOTA BHARU, KELANTAN",KACANG BENDI,F.A.Q,KG,300.0,250.0,250.0
